Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,Daily_Return,Cumulative_Return,Volatility_30,Daily_Range,Year,Month,Month_Name,Quarter,Day_of_Week,Week_Number,Trend,RSI_Signal,MACD_Signal_Flag
2020-01-31,11962.099609375,12103.5498046875,11945.849609375,12100.400390625,771300,12175.957373046875,,,12153.574578633881,12176.383769506967,12175.957373046875,131.12859463130556,12438.214562309486,11913.700183784264,524.5143785252221,29.297418759195338,-38.71103214906907,-9.67061513020282,-29.04041701886625,-0.6123414854723341,0.9819084432074697,,157.7001953125,2020,1,January,1,Friday,5,Downtrend,Oversold,Bearish
2020-02-03,11707.900390625,11749.849609375,11614.5,11627.4501953125,669800,12161.69990234375,,,12111.129417871132,12158.01187229591,12161.69990234375,163.55525528304943,12488.810412909848,11834.58939177765,654.2210211321981,20.493292459003115,-69.08554470005583,-21.553601044173423,-47.531943655882415,-2.1250384719316173,0.9610425110301661,,135.349609375,2020,2,February,1,Monday,6,Downtrend,Oversold,Bearish
2020-02-04,11979.650390625,11986.150390625,11783.400390625,11786.25,560400,12158.034912109375,,,12098.607605752451,12151.01730438725,12158.034912109375,166.90731622081339,12491.849544551002,11824.220279667748,667.6292648832532,36.64673115168658,-70.417877385873,-31.326456312513336,-39.09142107335966,2.321082268667074,0.9833490983480402,,202.75,2020,2,February,1,Tuesday,6,Downtrend,Neutral,Bearish
2020-02-05,12089.150390625,12098.150390625,11953.349609375,12005.849609375,758000,12161.224951171875,,,12097.706918597456,12148.591150906377,12161.224951171875,164.8347103052136,12490.894371782302,11831.555530561447,659.3388412208551,40.8718683984353,-61.92420211252829,-37.44600547251633,-24.47819664001196,0.9140500467834434,0.992337401241535,,144.80078125,2020,2,February,1,Wednesday,6,Downtrend,Neutral,Bearish
2020-02-06,12137.9501953125,12160.599609375,12084.650390625,12120.0,565100,12157.32744140625,,,12101.539611617936,12148.173858530146,12157.32744140625,164.3948474733811,12486.117136353012,11828.53774645949,657.5793898935226,42.87519577025902,-50.67106239779969,-40.09101685757301,-10.580045540226678,0.40366612301674376,0.9963431311563719,,75.94921875,2020,2,February,1,Thursday,6,Downtrend,Neutral,Bearish
2020-02-07,12098.349609375,12154.7001953125,12073.9501953125,12151.150390625,473500,12149.404931640625,,,12101.235801880513,12146.219966406416,12149.404931640625,163.16216699551092,12475.729265631648,11823.080597649603,652.6486679820446,45.5450350353318,-44.4360730391345,-40.960028093885306,-3.4760449452491926,-0.32625431230384194,0.9930925187256311,,80.75,2020,2,February,1,Friday,6,Downtrend,Neutral,Bearish
2020-02-10,12031.5,12103.5498046875,11990.75,12102.349609375,524700,12134.50244140625,,,12094.594296939513,12141.721144194398,12134.50244140625,159.41070348913885,12453.323848384527,11815.681034427973,637.6428139565542,45.15768706497115,-44.377448243438266,-41.6435121237959,-2.7339361196423653,-0.5525514763038308,0.9876051713523497,,112.7998046875,2020,2,February,1,Monday,7,Downtrend,Neutral,Bearish
2020-02-11,12107.900390625,12172.2998046875,12099.0,12108.400390625,480000,12121.782470703125,,,12095.861543957179,12140.394840132853,12121.782470703125,150.15846938716916,12422.099409477463,11821.465531928787,600.6338775486765,50.03467406380028,-37.731173174233845,-40.86104433388349,3.129871159649646,0.6350030388978967,0.9938764942027499,,73.2998046875,2020,2,February,1,Tuesday,7,Downtrend,Neutral,Bullish
2020-02-12,12201.2001953125,12231.75,12144.2998046875,12151.0,411700,12114.677490234375,,,12105.89379646721,12142.77936386539,12114.677490234375,142.2805574287738,12399.238605091923,11830.116375376827,569.1222297150962,50.71315721791527,-24.651273265464624,-37.619090120199715,12.96781685473509,0.7705696419483266,1.0015350047455367,0.9314838787325844,87.4501953125,2020,2,February,1,Wednesday,7,Downtrend,Neutral,Bullish
2020-02-13,12174.650390625,12225.650390625,12139.7998046875,12219.5498046875,501200,12105.635009765625,,,12112.442043529856,12144.02920805204,12105.635009765625,131.50891943604822,12368.652848637721,11842.617170893529,526.0356777441921,47.4093766499472,-16.240495383062807,-33.343371172772336,17.10287578970953,-0.21759994314084485,0.9993556651446748,0.9195820776118951,85.8505859375,2020,2,February,1,Thursday,7,Downtrend,Neutral,Bullish
2020-02-14,12113.4501953125,12246.7001953125,12091.2001953125,12190.150390625,622800,12093.6900390625,,,12112.538057985346,12142.830031081861,12093.6900390625,118.08486219134947,12329.859763445198,11857.520314679801,472.3394487653968,49.794824064252595,-14.347844584079212,-29.544265855033714,15.196421270954502,-0.5026854435148831,0.9943320496870511,0.9204349322020055,155.5,2020,2,February,1,Friday,7,Downtrend,Neutral,Bullish
