Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Range,Cumulative_Return,SMA_20,SMA_50
2020-01-03,12226.650390625,12265.599609375,12191.349609375,12261.099609375,428800,,74.25,,,
2020-01-06,11993.0498046875,12179.099609375,11974.2001953125,12170.599609375,396500,-1.9105853072941215,204.8994140625,0.9808941469270588,,
2020-01-07,12052.9501953125,12152.150390625,12005.349609375,12079.099609375,447800,0.4994592001242859,146.80078125,0.9857933129873666,,
2020-01-08,12025.349609375,12044.9501953125,11929.599609375,11939.099609375,446000,-0.22899444111396106,115.3505859375,0.9835359010997524,,
2020-01-09,12215.900390625,12224.0498046875,12132.5498046875,12153.150390625,477500,1.5845758122611686,91.5,0.999120773093484,,
2020-01-10,12256.7998046875,12311.2001953125,12213.2001953125,12271.0,660600,0.33480474426501594,98.0,1.0024658768427384,,
2020-01-13,12329.5498046875,12337.75,12285.7998046875,12296.7001953125,501000,0.5935480807329307,51.9501953125,1.008415993814741,,
2020-01-14,12362.2998046875,12374.25,12308.7001953125,12333.099609375,616300,0.2656220260982112,65.5498046875,1.01109456880901,,
2020-01-15,12343.2998046875,12355.150390625,12278.75,12349.400390625,684400,-0.15369308543056182,76.400390625,1.0095405863695865,,
2020-01-16,12355.5,12389.0498046875,12315.7998046875,12347.099609375,395700,0.09884063018437139,73.25,1.0105384226471212,,
2020-01-17,12352.349609375,12385.4501953125,12321.400390625,12328.400390625,502100,-0.0254978804985595,64.0498046875,1.0102807567677226,,
2020-01-20,12224.5498046875,12430.5,12216.900390625,12430.5,491600,-1.0346193941151438,213.599609375,0.9998281961231904,,
2020-01-21,12169.849609375,12230.0498046875,12162.2998046875,12195.2998046875,400,-0.4474618385662321,67.75,0.995354346494314,,
2020-01-22,12106.900390625,12225.0498046875,12087.900390625,12218.349609375,500,-0.5172555189302153,137.1494140625,0.9902058212041603,,
2020-01-23,12180.349609375,12189.0,12094.099609375,12123.75,867700,0.606672363529781,94.900390625,0.9962131262634691,,
2020-01-24,12248.25,12272.150390625,12149.650390625,12174.5498046875,593200,0.5574584704263197,122.5,1.0017666007193238,,
2020-01-27,12119.0,12216.599609375,12107.0,12197.099609375,441200,-1.0552527912150667,109.599609375,0.9911954307037728,,
2020-01-28,12055.7998046875,12163.5498046875,12024.5,12148.099609375,478500,-0.5214967844912932,139.0498046875,0.986026378404628,,
2020-01-29,12129.5,12169.599609375,12103.7998046875,12114.900390625,514400,0.6113256399948197,65.7998046875,0.9920542104729279,,
2020-01-30,12035.7998046875,12150.2998046875,12010.599609375,12147.75,538100,-0.7724984155365044,139.7001953125,0.9843906074157613,12189.184912109375,
2020-01-31,11962.099609375,12103.5498046875,11945.849609375,12100.400390625,771300,-0.6123414854723341,157.7001953125,0.9783627753474615,12175.957373046875,
2020-02-03,11707.900390625,11749.849609375,11614.5,11627.4501953125,669800,-2.1250384719316173,135.349609375,0.95757218997627,12161.69990234375,
2020-02-04,11979.650390625,11986.150390625,11783.400390625,11786.25,560400,2.321082268667074,202.75,0.9797982282874962,12158.034912109375,
2020-02-05,12089.150390625,12098.150390625,11953.349609375,12005.849609375,758000,0.9140500467834434,144.80078125,0.9887540744515414,12161.224951171875,
